"BRCA" "COADREAD" "GBM" "GBMLGG" "HNSC" "KIPAN" "KIRC" "LGG" "LUAD" "LUSC" "OV" "STES" "THCA" "UCEC"
"PLCE1" 0.7839 0.01793 0.2761 0.6157 0.0005767 0.1067 0.1525 0.7923 0.4662 0.7779 0.4027 0.3795 0.8649 0.008001
"SCN2A" 0.1101 0.3555 0.6511 0.5615 0.9945 0.2846 0.06203 0.6382 0.512 0.2969 0.6778 0.9649 1 0.00818
"VPS13A" 0.8144 8.154e-06 0.9315 0.9768 0.2478 0.1881 0.04537 0.6523 0.1043 0.8648 0.1775 0.05 1 0.008189
"MGAM" 0.2544 0.006259 0.3212 0.007035 0.3095 0.6412 0.9958 0.01546 0.5254 0.9625 0.2533 0.1096 1 0.008827
"KIAA0947" 0.2751 0.7218 0.4831 0.9293 8.162e-05 0.1469 0.3254 NA 0.2182 0.2282 0.529 0.9693 0.9362 0.00914
"TLN2" 0.2125 0.2986 0.2341 0.3039 0.5225 0.1019 0.3361 0.8866 0.8689 0.2082 0.1128 0.6407 0.9098 0.009184
"MYO16" 0.7301 0.0004931 0.7376 0.3082 0.00694 0.4894 0.1276 0.7829 0.2138 0.3859 0.2764 0.8929 NA 0.009228
"TRIO" 0.1635 1.999e-05 0.02228 0.001232 0.9903 0.3649 0.4464 0.9637 0.1464 0.7955 0.1118 0.7494 0.07761 0.009296
"CUL9" 0.2639 0.9095 0.3133 0.1514 0.3875 0.9805 0.6586 0.7885 0.3389 0.2109 0.3257 0.9791 1 0.009344
"ODZ4" 0.02382 0.0005518 0.5004 0.04121 0.5931 0.01836 0.0588 NA 0.7207 0.5578 0.4129 0.2021 1 0.009388
"RP1" 0.39 0.000693 0.09411 0.2532 0.1542 0.8066 0.73 0.6365 0.7846 0.4903 0.2086 0.2361 0.9362 0.009409
"COL12A1" 0.567 0.09585 0.2793 0.6111 0.9016 0.2337 0.8763 0.3828 0.254 0.7195 0.2642 0.07707 0.9362 0.0101
"KIF20B" 0.8067 0.02711 0.8853 0.703 0.6647 0.953 0.9879 0.6748 0.4749 0.856 1 0.6755 NA 0.01026
"AFF2" 0.06351 0.002741 0.4003 0.2073 0.6776 0.09365 4.565e-05 0.4631 0.7612 0.3402 0.8692 0.8932 1 0.01033
"FCGBP" 0.1292 0.449 0.4145 0.1403 0.3563 0.4379 0.8178 0.4463 0.2075 0.2171 0.1942 0.3473 0.9098 0.01036
"ASXL3" 0.6739 0.01502 0.3275 0.2177 0.5517 0.04781 0.0348 0.621 0.3954 0.3457 0.4467 0.1854 NA 0.01055
"TACC2" 0.5432 0.01597 0.07817 0.1146 0.1805 0.9654 0.7658 0.006304 0.7991 0.07541 0.7712 0.1031 0.04277 0.01058
"PTPRZ1" 0.7121 0.09318 0.9011 0.7188 0.4855 0.03422 0.004041 0.154 0.3429 0.2161 0.7518 0.9247 0.04773 0.01066
"MYH2" 0.5342 1.321e-07 0.136 0.496 0.7709 0.7414 0.8263 0.2894 0.9354 0.0593 0.2302 0.4338 0.9362 0.01071
"NALCN" 0.01614 0.8016 0.219 0.005663 0.7241 0.7202 0.2405 NA 0.1953 0.01492 0.6024 0.286 1 0.01091
"SVEP1" 0.3193 0.2566 0.9011 0.4531 0.5355 0.791 0.75 0.003511 0.8355 0.0003334 0.4421 0.4252 0.6282 0.01103
"PCDH17" 0.4519 0.6148 0.6858 0.9643 0.9627 0.386 0.2874 0.8536 0.4159 0.5904 0.003132 0.3714 NA 0.01112
"SPTBN1" 0.5799 2.451e-08 0.9667 0.7294 0.5252 0.04017 0.01911 0.583 0.227 0.8818 0.959 0.2826 1 0.01123
"C2orf16" 0.7393 0.06671 5.588e-06 4.203e-10 0.4053 0.6996 0.2398 NA 0.5576 0.9439 0.1672 0.6228 NA 0.01125
"CCDC88A" 0.02168 0.4877 0.6535 0.8149 0.6812 0.9828 0.05512 0.6638 0.2281 0.5824 0.2288 0.9065 1 0.01152
"DCHS1" 0.9119 0.1378 0.8249 0.3837 0.3771 0.8854 0.5946 0.3021 0.6832 0.2566 0.6808 0.9343 1 0.01162
"ASH1L" 0.3807 0.634 0.5821 0.6719 0.009044 0.1892 0.21 NA 0.1951 0.6219 0.5937 0.8658 0.8175 0.01197
"ZNF462" 0.7623 0.6826 0.0173 0.2706 0.1138 0.4325 0.9081 0.5745 0.6253 0.417 0.6215 0.5042 1 0.01199
"ARAP2" 0.4867 0.1734 0.1235 0.7149 0.8501 0.3387 0.5551 NA 0.1057 0.6255 0.159 0.3748 1 0.012
"MYH11" 0.9313 0.1236 0.3801 0.5229 0.2046 0.3174 0.7495 0.004282 0.7736 0.5055 0.8945 0.1001 NA 0.01201
"PTPN13" 0.5061 4.053e-13 0.3166 0.09867 0.8982 0.6019 0.8981 NA 0.4648 0.4394 0.426 0.8845 1 0.01263
"DOCK1" 0.7917 0.006493 0.19 0.02724 0.6273 0.9206 0.8232 NA 0.5725 0.7341 0.9498 0.3946 NA 0.01281
"SETX" 0.6845 0.1491 4.793e-05 0.2929 0.9213 0.5884 0.6741 0.04764 0.1274 0.6051 0.7337 0.8014 0.8623 0.01297
"ITPR2" 0.0009584 0.0005111 0.6008 0.294 0.4898 0.688 0.669 0.6958 0.4796 0.02697 0.5891 0.3255 0.07549 0.01302
"SYCP2" 0.6553 0.03793 0.2433 0.02859 0.1265 0.3944 0.8116 NA 0.932 0.6279 0.8652 0.5287 NA 0.01345
"CCNB3" 0.5469 0.1391 0.6507 0.9971 0.8041 0.988 0.6789 0.5692 0.6112 0.8842 0.1181 0.167 NA 0.01345
"WDFY4" 0.8137 NA NA NA NA 0.3895 0.417 NA NA NA NA 0.3636 NA 0.01353
"DMBT1" 0.5751 6.328e-15 0.721 0.2844 0.9334 0.4047 0.138 0.05792 0.3772 0.9118 0.5171 0.1893 0.869 0.0137
"EYS" 0.9589 0.01631 0.7874 0.8357 NA 0.7247 0.8705 NA 0.8094 0.5608 1 0.8214 NA 0.01377
"PEG3" 0.1793 0.4399 0.3212 0.004006 0.5917 0.2748 0.1823 5.168e-06 0.8799 0.1744 0.7703 0.7894 0.6723 0.01383
"MED13L" 0.5311 4.274e-05 0.1852 0.8025 0.9866 0.9983 0.7756 0.5609 0.4789 0.007972 0.836 0.7625 1 0.01386
"HIVEP1" 0.1612 2.011e-10 0.333 0.6706 0.6634 0.8605 0.3 0.7371 0.4147 0.1062 0.4472 0.1372 1 0.01392
"CDH10" 0.3691 0.01742 NA 0.4799 0.01029 0.5612 0.5738 0.7604 0.5571 0.09618 0.3032 0.436 1 0.01398
"DOPEY2" 0.3864 0.001643 NA NA 0.3037 0.0942 0.1034 NA 0.7589 0.9694 0.4015 0.7449 NA 0.01427
"MYOM2" 0.2623 0.789 0.6533 0.7207 0.1961 0.4947 0.5382 0.1354 0.3567 0.1241 0.8363 0.8685 0.8896 0.01429
"ABCB1" 0.7346 0.7158 0.755 0.9679 0.9393 0.274 0.21 0.8597 0.5091 0.07523 0.5974 0.8526 NA 0.01434
"DOCK10" 0.7391 6.694e-05 0.2779 0.8885 0.1803 0.1009 0.4141 NA 0.2843 0.05002 5.009e-07 0.5253 1 0.01438
"MLL" 0.5903 0.3124 0.3286 0.07328 0.8745 0.4132 0.7053 NA 0.8599 0.8978 0.5583 0.1251 0.5205 0.01447
"ALMS1" 0.0007934 6.426e-07 0.4436 0.4252 0.2508 0.5766 0.9714 0.5797 0.4495 0.6928 0.6291 0.8424 0.6723 0.01458
"MYO10" 0.9126 0.6025 0.1267 0.2363 0.04931 0.2246 0.2499 0.6888 0.4533 0.2967 0.7144 0.533 0.9362 0.0147
"PIKFYVE" 0.05457 1.693e-06 0.8303 0.8648 0.2649 0.4598 0.3827 0.6887 0.186 0.3528 0.6322 0.5307 NA 0.0148
"HEATR7B2" 0.7024 0.1869 0.6251 0.01534 0.682 0.9462 0.6502 NA 0.7603 0.05396 0.1127 0.6493 1 0.01484
"FRAS1" 0.8357 0.2097 0.09982 0.6856 0.00336 0.7306 0.564 0.573 0.4898 0.4968 0.5178 0.3294 1 0.01489
"CNTNAP2" 0.3314 0.1343 0.6239 0.1153 0.186 0.473 0.09135 0.7151 0.4336 0.1192 0.7139 0.5604 NA 0.01504
"LAMA1" 0.6005 0.4991 0.01067 1.157e-05 0.336 0.9593 0.8077 0.02906 0.4416 0.3786 0.8142 0.8932 NA 0.01526
"ATP10A" 0.04122 0.1974 0.178 0.05168 0.8588 0.6395 0.5369 0.8546 0.674 0.1327 0.9595 0.2261 1 0.01576
"SYTL2" 0.8579 0.1436 0.6333 0.3077 0.4958 0.645 0.5495 0.9946 0.829 0.3726 0.847 0.1269 1 0.01589
"GPR158" 0.429 0.0002327 0.7272 0.2397 0.6791 0.2091 0.2959 NA 0.8022 0.52 0.3975 0.8863 1 0.01589
"LAMB4" 0.8644 0.6558 0.5357 0.2915 0.9391 0.5696 0.9019 0.6297 0.0535 0.2429 0.7521 0.1306 1 0.01602
"AKAP6" 0.7396 0.0009424 0.0783 0.36 0.8471 0.5176 0.4714 0.5745 0.7419 0.1332 0.4362 0.229 1 0.01606
"BDP1" 0.5373 0.7375 0.2581 0.6646 0.6496 0.9468 0.6682 NA 0.2906 0.2466 NA 0.8075 0.8583 0.01618
"PRKDC" 0.5869 0.3232 0.6908 0.5659 0.7614 0.6437 0.7307 0.7604 0.5715 0.6868 0.4207 0.1433 0.8377 0.01628
"DOCK2" 0.7711 0.06496 0.9606 0.3671 0.4808 0.2014 0.1409 0.7717 0.6585 0.7874 0.2484 0.7088 0.6165 0.01629
"MAP3K5" 0.4939 0.003417 0.8433 0.7391 0.3847 0.1889 0.3947 0.8173 0.06575 0.1464 0.8899 0.8703 NA 0.0163
"CDH8" 0.001482 0.1009 0.5935 0.7449 0.2498 0.006607 0.03275 0.8332 0.3843 0.7551 0.6244 0.6431 0.1308 0.01636
"DENND4C" 0.5036 0.003417 0.8977 0.7795 0.9355 0.2206 0.2986 0.3946 0.2808 0.1101 1 0.1989 1 0.01646
"FNDC1" 0.6866 0.001977 0.2646 0.001222 0.6786 0.2049 0.3097 0 0.9046 0.2221 0.4285 0.8969 NA 0.0165
"CNTNAP4" 0.6191 2.006e-05 0.5874 0.6741 0.3248 0.3501 0.2615 NA 0.2357 0.7591 0.6664 0.2662 1 0.01673
"MAP3K1" 0.1415 0.766 0.3628 0.7286 0.3326 0.02335 0.1298 0.05277 0.7482 0.6445 1 0.4621 0.6723 0.01679
"ASCC3" 0.9425 3.093e-07 0.7082 0.3694 0.1755 0.174 0.3894 NA 0.581 0.0002309 0.5689 0.7885 1 0.01684
"ATP8A2" 0.6803 0.04421 0.9667 0.2208 0.8505 0.8885 0.9133 0.004488 0.04405 0.4379 0.6646 0.07095 NA 0.01705
"TRRAP" 0.1597 0.1313 0.4828 0.4312 0.09077 0.5002 0.7907 0.2956 0.2791 0.7051 0.04797 0.2603 0.807 0.01724
"RNF213" 0.5587 0.5433 0.02694 0.06119 0.9434 0.6579 0.5229 0.8096 0.3943 0.6287 0.2612 0.6986 0.9362 0.01726
"MYH7" 0.8717 0.0001643 0.003272 1.754e-05 0.9962 0.2483 0.8542 NA 0.545 0.2329 0.7707 0.9834 1 0.0173
"KIAA2026" 0.9219 3.286e-12 0.02819 0.001157 0.0821 0.4122 0.9774 NA 0.7455 0.3972 0.3974 0.3338 NA 0.01746
"DNAH17" 0.1626 NA 0.4103 0.7325 0.3188 0.4369 0.352 0.3823 0.07989 0.007271 0.5716 0.5812 0.9362 0.01761
"BOD1L" NA 0.6143 0.5141 0.06004 0.7008 0.03426 0.09306 NA 0.2181 0.003951 0.3413 0.2656 NA 0.01764
"PCDH19" 0.3836 0.01606 0.7941 0.7798 0.3838 0.886 0.4864 0.3184 0.6591 0.04525 0.04152 0.7045 NA 0.01773
"COL4A6" 0.06517 0.07163 0.2815 0.4352 0.008444 0.7094 0.7921 0.627 0.3904 0.5229 0.4877 0.258 1 0.01779
"CIT" 0.4357 0.6015 0.6438 0.8477 0.00365 0.4238 0.3831 0.6056 0.8802 0.04012 0.09944 0.006138 5.441e-11 0.01789
"CRB1" 0.8502 0.0003043 0.3372 0.4628 0.265 0.1295 0.07729 NA 0.0001797 0.3548 0.1642 0.4049 1 0.018
"SCN7A" 0.334 4.125e-06 0.01469 0.009943 0.3991 0.305 0.293 0.5567 0.4393 0.1504 0.315 0.9957 NA 0.0181
"ARFGEF2" 0.5624 0.01429 0.2769 0.3236 0.8056 0.0004102 3.18e-06 0.8136 0.3032 0.1748 1 0.3333 0.6779 0.01823
"PKD1L2" 0.4963 0.001694 0.8487 0.1608 0.3082 0.0003217 0.014 0.0005367 0.1405 0.6747 0.02891 0.09015 0.8978 0.01832
"AKAP9" 0.8983 0.07716 0.7706 0.7226 0.4623 0.8286 0.7542 0.6637 0.2381 0.8712 0.2088 0.921 0.5536 0.01841
"MED12" 0.8318 0.7116 0.4097 0.03652 0.1842 0.003795 0.1048 0.0001587 0.1784 0.3794 0.2912 0.7925 NA 0.01849
"MYT1L" 0.9443 0.7496 0.8583 0.09918 0.1635 0.1062 0.8912 5.755e-05 0.04784 0.1975 0.9478 0.1523 1 0.01862
"NCAM2" 0.6025 0.000784 NA NA 0.227 0.4579 0.8096 NA 0.1005 0.3203 0.8359 0.7111 0.807 0.01868
"DNAH12" 0.6389 0.8414 0.2417 0.02055 NA 0.4999 0.9131 NA 0.2635 0.8625 1 0.8333 NA 0.01888
"MSH4" 0.5438 0.07281 0.005163 2.755e-05 0.07962 0.2302 0.8583 NA 0.9 0.4562 1 0.2621 NA 0.01894
"ATP1A2" 0.4958 1.752e-07 0.3818 0.7223 0.6616 0.5076 0.1765 0.5992 0.8087 0.9094 0.3039 0.2776 0.02934 0.01948
"CHD8" 0.1785 0.7998 0.8092 0.5772 0.614 0.3133 0.6281 0.5634 0.8741 0.03277 0.6791 0.7297 NA 0.01977
"CHD6" 0.2456 0.7287 0.4824 0.9059 0.9048 0.8614 0.7985 0.5609 0.3273 0.6336 0.6557 0.6014 0.9231 0.02015
"SIPA1L1" 0.4542 0.0002891 0.6935 0.2562 0.8087 0.09059 0.5718 0.02462 0.1339 0.06344 0.1855 0.5726 1 0.02031
"UNC13C" 0.6327 1.182e-05 0.09468 0.00391 0.03252 0.9992 0.5488 0.8818 0.1574 0.7542 0.2486 0.5783 NA 0.02054
"RGPD3" 0.3792 NA 0.5023 0.2036 0.8579 0.6768 0.3214 0.536 0.3218 NA 1 0.03722 NA 0.02074
"SYNJ1" 0.4392 0.02869 NA 0.6551 0.4918 0.4962 0.3432 0.8471 0.9612 0.4251 0.8734 0.5269 NA 0.02086
"CNTN6" 0.8995 0.1486 0.9772 0.1649 0.6238 0.3297 0.3819 NA 0.6336 0.3466 1 0.5343 NA 0.02089
"SCN8A" 0.3223 0.0004594 0.1904 0.02576 0.6009 0.8776 0.3991 NA 0.5791 0.7674 0.4166 0.9867 NA 0.02104
"ABCB5" 0.8544 4.602e-12 0.6576 0.7746 0.7611 0.3052 0.1318 0.7774 0.2619 0.8874 0.8448 0.2084 1 0.02122
"EPHA5" 3.55e-06 0.4421 0.03172 0.02513 0.6247 0.28 0.5078 0.08587 0.1922 0.2339 0.4614 0.5437 NA 0.02124
"PDZRN4" 0.6274 0.3469 0.5706 0.3317 0.5831 0.0488 0.6266 0.881 0.4686 0.8899 0.5443 0.4693 0.9119 0.02137
"PXDNL" 0.544 0.6627 0.8962 0.5886 0.8328 0.7427 0.6388 0.7774 0.4651 0.4332 0.1102 0.176 1 0.02138
"DNAH6" 0.8014 0.8546 0.6299 0.6304 NA 0.7646 0.7446 0.9157 0.6407 0.2415 NA 0.0001782 1 0.02143
"F8" 0.1395 1.748e-09 0.702 0.1526 0.6386 0.01789 0.00338 0.04438 0.5501 0.09327 0.6698 0.5006 0.5746 0.02164
"ABCA8" 0.4751 1.932e-05 0.2988 0.07587 0.7157 0.4089 0.68 0.3767 0.9384 0.04725 0.04428 0.1063 NA 0.02178
"MTOR" 0.3584 0.0001689 0.001759 0.1715 0.2598 0.02369 0.1572 0.4729 0.6614 0.7569 0.9667 0.2595 NA 0.02178
"PPP1R3A" 0.501 0.001845 0.2727 0.01919 0.05265 0.7099 0.8863 0.1102 0.8056 0.5769 0.3057 0.9657 NA 0.02183
"ATP7A" 0.7278 0.6525 0.86 0.2943 0.9719 0.01035 0.16 NA 0.3395 0.09907 NA 0.6108 1 0.02189
"STARD9" 0.4035 NA NA NA NA 0.7738 0.5937 NA NA NA NA 0.4211 NA 0.02198
"POLE" 0.9134 0.001082 0.02943 0.6452 0.5953 0.2385 0.6446 0.5974 0.0002835 0.1084 0.4737 0.7497 0.8649 0.02201
"MAP1A" 0.2615 0.7552 0.7117 0.2542 0.7325 0.6668 0.1807 NA 0.7158 0.6971 0.1931 0.1506 0.8431 0.02226
"RIF1" 0.2376 0.001057 0.5303 0.3175 0.0415 0.5262 0.5777 0.7199 0.3304 0.5033 0.4523 0.9957 1 0.02227
"MIA3" 0.3791 0.05344 0.7795 0.464 0.3764 0.3487 0.301 0.7687 0.7534 0.751 0.06878 0.3205 1 0.02237
"MAGI2" 0.5434 4.907e-06 0.5005 0.3929 0.443 0.7927 0.8363 0.3683 0.5368 0.03945 0.5247 0.08123 1 0.02297
"PPFIA2" 0.3753 0.0602 0.4475 0.1735 0.2539 0.7666 0.0006493 NA 0.05245 0.4929 0.8926 0.07271 NA 0.02309
"RNF17" 1.268e-06 0.1032 0.2177 0.1339 0.8265 0.8135 0.9804 0.4841 0.7064 0.126 1 0.64 NA 0.02319
"BCOR" 0.7444 0.01891 0.1527 0.9108 0.01849 0.4265 0.8009 0.2712 0.3074 0.8728 0.461 0.2385 0.9362 0.02327
"SCN3A" 0.4518 0.06058 0.8054 0.7027 0.4067 0.9127 0.9423 0.4695 0.1592 0.06242 0.7119 0.06315 0.01864 0.02349
"SDK1" 0.4764 0.1523 0.4336 0.3463 0.6148 0.405 0.2298 0.6822 0.9157 0.1614 0.8726 0.9068 1 0.02367
"TAF1L" 0.628 0.09183 0.03333 0.00915 0.7416 0.8417 0.1538 0.05697 0.3202 0.7083 NA 0.9856 0.9231 0.02381
"PTPN14" 0.2209 0.4988 0.7944 0.8223 0.2706 0.3767 0.808 0.7962 0.2749 0.9217 1 0.05739 NA 0.02387
"DOPEY1" 0.416 7.161e-12 0.579 0.861 0.9892 0.5883 0.4408 0.823 5.495e-05 0.877 0.6535 0.8414 NA 0.02393
"DOCK4" 0.1352 1.82e-06 0.4008 0.05108 0.6367 0.3425 0.7929 0.2461 0.75 0.5587 0.2374 0.1403 0.9362 0.024
"AHCTF1" 0.7125 0.7096 0.1094 0.01808 0.2977 0.4245 0.4879 NA 0.465 0.7981 0.1657 0.864 NA 0.02442
"NWD1" 0.4255 0.000508 0.4909 0.6668 0.3341 0.06433 0.2432 0.6064 0.7615 0.4517 0.5681 0.8443 0.9098 0.02446
"FSIP2" 0.01577 9.386e-06 NA 0.7175 NA 0.5219 0.9154 0.9063 NA NA NA 0.6946 1 0.0248
"ABCB4" 0.3321 0.6914 0.7144 0.5558 0.2427 0.4015 0.4159 0.1037 0.4536 0.4075 0.5762 0.8092 1 0.02492
"CXorf57" 0.5477 0.8151 0.2185 0.4654 0.3442 NA NA 0.823 0.2204 0.1516 1 0.5743 NA 0.02499
"PLCG2" 0.3175 1.817e-11 0.005103 0.02348 0.5289 0.1632 0.1951 0.3595 0.7433 0.4812 0.6725 0.1017 NA 0.02499
"TSHZ3" 0.129 0.04812 0.4864 0.1216 0.9652 0.7192 0.335 NA 0.239 0.2209 0.6998 0.05912 NA 0.02513
"GAPVD1" 0.5041 0.769 0.5618 0.6537 0.6998 0.4463 0.9548 1 0.5027 0.2754 0.05694 0.09596 1 0.02517
"PTCH1" 0.2007 0.04324 0.3571 0.8475 0.3873 0.1574 0.3308 NA 0.3155 0.9512 0.01013 0.2264 0.04773 0.0253
"SLITRK3" 0.3979 5.27e-06 NA 0.1446 0.578 0.1758 0.4183 4.544e-09 0.4832 0.71 0.6045 0.958 0.8024 0.02544
"C11orf41" NA 2.01e-05 0.7538 0.775 0.7627 0.06484 0.178 NA 0.8086 0.1391 0.09844 0.7175 NA 0.02559
"PCDHGB1" 0.7946 0.02205 0.9119 0.3515 0.5281 0.355 0.4785 NA 0.6288 0.05749 1 0.4379 NA 0.0257
"DNHD1" 0.279 0.3895 0.05184 0.0003826 0.9506 0.2956 0.006106 1.063e-11 0.8724 1 0.3189 0.09236 1 0.02574
"MED14" 0.4624 0.7998 0.4597 0.5628 0.3189 0.5 0.3246 0.9637 0.3186 0.002475 NA 0.276 NA 0.02586
"YSK4" 0.6794 0.07743 0.08345 0.00321 0.3767 0.9734 0.9652 NA 0.0198 0.07266 0.7357 0.6749 0.8649 0.0259
"HECW2" 0.09928 8.097e-05 0.2941 0.2944 0.7967 0.4014 0.5022 0.7604 0.01632 0.2077 0.9211 0.6751 NA 0.02612
"DIAPH3" 0.4363 0.0008668 0.5562 0.2509 0.6145 0.4762 0.1364 NA 0.3699 0.08748 0.7701 0.8902 NA 0.02624
"LRRC7" 0.2014 0.00867 0.5457 0.9283 0.265 0.7008 0.5322 0.3475 0.5619 0.2162 0.809 0.4454 1 0.02631
"MAGI1" 0.4105 0.2456 0.9563 0.7708 0.9771 0.1082 0.3443 0.8896 0.4986 0.3834 0.7803 0.4044 1 0.02632
"GRIN2B" 0.8301 2.46e-05 0.3176 0.8964 0.4925 0.32 0.5563 0.3991 0.6666 0.2114 0.39 0.08927 0.8874 0.02648
"MYH8" 0.4844 0.2433 0.9294 0.3455 0.5554 0.6144 NA 0.2965 0.6701 0.5592 0.7934 0.2227 0.9362 0.02649
"DYNC1H1" 0.815 3.409e-07 0.4932 0.6339 0.2527 0.3721 0.8365 0.7724 0.5327 0.2534 0.6639 0.667 0.6189 0.02649
"MYH3" 0.8559 1.947e-07 0.9274 0.512 0.5457 0.8096 0.4566 0.01586 0.9583 0.4542 0.5215 0.9477 1 0.0266
"JMJD1C" 0.7969 0.7808 0.9946 0.362 0.3844 0.06151 0.09968 0.9063 0.9926 0.2937 0.06398 0.1025 0.4873 0.02663
"CAD" 0.4487 0.01261 0.6937 0.39 0.1869 0.3626 0.7993 0.2853 0.9867 0.1376 0.8136 0.589 NA 0.02665
"ADAMTS3" 0.3949 0.5873 0.282 0.8836 0.09974 0.8243 0.6056 9.901e-06 0.6159 0.6082 1 0.01492 0.9072 0.02669
"SBF2" 0.5641 0.7877 NA NA 0.6011 0.2008 0.3229 NA 0.2335 0.5866 0.3644 0.3211 0.7691 0.02689
"POLQ" 0.6496 0.6662 0.8768 0.8842 0.4092 0.8224 0.1248 0.5287 0.6502 0.274 0.7523 0.1354 1 0.027
"ABCA10" 0.5988 0.6774 0.06125 0.1287 0.1792 0.5762 0.8261 0.7829 0.04485 0.5508 0.06533 0.5144 NA 0.02701
"STXBP5L" 0.7219 0.01535 0.09281 0.002044 0.2646 0.3804 0.2818 0.0008523 0.7847 0.02455 0.9515 0.834 0.8708 0.02702
"NID1" 0.01263 0.04137 0.007345 0.1015 0.3968 0.002276 0.1822 0.8744 0.1421 0.5007 NA 0.1453 NA 0.02706
"DIAPH2" 0.1634 0.1892 0.8868 0.9683 0.009324 0.005679 0.02495 0.5088 0.4886 0.9228 0.9077 0.04606 NA 0.02732
"HFM1" 0.09806 0.6565 0.3257 0.8908 0.2759 0.7381 0.2574 0.4182 0.1029 0.9289 1 0.1607 1 0.02753
"CUX1" 0.6848 0.4029 0.9624 0.5288 0.00194 0.9734 0.7459 NA 0.1763 0.359 0.1862 0.1618 0.5238 0.02755
"TPR" 0.854 0.002676 0.7594 0.7514 0.3447 0.5285 0.8879 0.753 0.5217 0.5943 0.1608 0.7511 NA 0.02779
"FRY" 0.3517 0.03648 0.3009 0.1376 0.2915 0.3296 0.4375 0.5159 0.5336 0.3633 0.1209 0.2814 0.8412 0.02785
"NRK" 0.1187 0.6906 0.2314 0.123 0.008292 0.9702 0.8017 0.1069 0.6485 0.2576 0.8391 0.918 NA 0.02804
"LIFR" 0.9037 4.948e-11 NA 0.5413 0.2526 0.125 0.1939 0.7829 0.7741 0.6767 0.9598 0.62 1 0.02804
"KAT6A" 0.2505 NA NA 0.5879 NA 0.1321 NA 0.8056 NA NA NA 0.07207 NA 0.02812
"CACNA1S" 0.9169 0.06971 0.08574 0.7068 0.9852 0.2827 0.9094 0.01909 0.8981 0.3303 0.1767 0.3206 1 0.0284
"GRM5" 0.9439 0.5701 0.4078 0.6373 0.09812 0.9831 0.8492 0.7885 0.7544 0.6649 0.3198 0.6114 NA 0.02845
"GOLGB1" 0.6711 0.0003663 0.7384 0.7638 0.2606 0.8332 0.8007 0.5745 0.2121 0.5409 0.1345 0.353 1 0.02859
"LOXHD1" 0.1787 NA NA NA NA 0.000609 0.01101 NA NA NA NA 0.4886 NA 0.0286
"PLXNC1" 0.5234 0.1911 0.5788 0.6683 0.5254 0.4551 0.4379 NA 0.1236 0.7433 0.5732 0.1721 1 0.02905
"ZC3H13" 0.09647 0.9021 0.7414 0.6154 0.5427 0.1983 0.5148 0.9157 0.6801 0.2865 0.2146 0.2632 0.8175 0.02907
"NRXN3" 0.9678 0.03897 0.8423 0.555 0.4309 0.3631 0.487 NA 0.8447 0.04516 0.003668 0.1493 1 0.02916
"SLITRK2" 0.5732 0.228 0.6531 0.5453 0.9469 0.4875 0.7365 NA 0.7271 0.7484 0.09397 0.08947 NA 0.02918
"ANO4" 0.2272 0.5059 0.2799 0.9646 0.4651 0.01985 0.04836 0.2251 0.8958 0.04686 0.06418 0.1353 1 0.02919
"PLXNA2" 0.1093 0.364 0.5563 0.1754 0.5256 0.6755 0.5286 0.9637 0.0232 0.07611 0.4237 0.4252 1 0.02923
"KIAA1210" 0.3281 0.009799 0.591 0.4375 0.9596 0.3397 0.4404 0.9063 0.6185 0.1593 0.1138 0.2858 NA 0.02943
"HEPH" 0.4387 0.002033 0.3479 0.1822 0.2923 0.3463 0.412 0.6167 0.158 0.02475 0.9804 0.4515 NA 0.02946
"FANCM" 0.5714 0.0001249 0.9661 0.438 0.7598 0.5159 0.5821 0.733 0.9547 0.02765 0.4562 0.4003 1 0.02961
"MYH6" 0.8421 0.6958 0.9269 0.3112 0.123 0.4412 0.137 0.05112 0.8789 0.8289 0.7041 0.4947 0.8314 0.02963
"COL6A6" 0.5343 3.353e-05 0.08107 0.002943 0.8761 0.009857 0.04246 NA 0.6594 0.6819 0.0526 0.3522 0.7979 0.02977
"NBEAL1" 7.724e-06 0.004853 0.03192 0.03603 0.5292 0.04458 0.09544 0.823 0.335 0.3368 1 0.2689 NA 0.02982
"MED13" 0.841 0.7706 2.025e-06 7.443e-12 0.3652 0.9362 0.908 1.765e-14 0.1046 0.1622 0.6859 0.6861 0.9394 0.02989
"CCDC132" 0.6603 0.8575 0.6032 0.1299 0.08979 0.5242 0.9229 NA 0.1727 0.7282 0.5217 0.7705 0.9362 0.03025
"FREM1" 0.5451 0.073 0.001759 2.087e-05 0.9423 0.5383 0.6493 0.9157 0.1775 0.5295 0.4347 0.8054 0.9362 0.03026
"SEMA6D" 0.7136 0.003606 3.687e-05 0.6057 0.3743 0.8229 0.9969 0.5805 0.5977 0.7799 NA 0.7486 NA 0.03043
"LRRIQ1" 0.1597 1.438e-12 0.238 0.1163 0.001725 0.4472 0.7093 0.7251 0.6145 0.8572 0.8661 0.09939 NA 0.03048
"SAMD9" 0.2304 5.372e-05 0.1553 0.2847 0.5161 0.2259 0.5919 NA 0.6981 0.2855 0.8176 0.7554 NA 0.03071
"NCOR1" 0.297 0.2594 0.5215 0.9882 0.9805 0.3255 0.4545 0.5421 0.6257 0.2193 1 0.7938 0.8807 0.03071
