"gen" "BRCA" "COADREAD" "GBM" "GBMLGG" "HNSC" "KIPAN" "KIRC" "LGG" "LUAD" "LUSC" "OV" "STES" "THCA" "UCEC"
"178" "NLGN4X" 0.306342 0.498 0.80512 0.472852 0.632138 0.682279 NA 0.09603 0.105939 0.036985 0.138529 0.046333 NA 0.185101
"179" "NLRP3" 0.403772 0.454673 0.296717 0.682482 0.94688 0.027547 0.602086 0.512736 0.035926 0.568586 0.314863 0.399807 0.864777 0.121901
"180" "NOTCH1" 0.994031 NA NA 0.034709 0.000211 0.759597 0.853099 0.465861 0.649158 0.011711 0.118157 0.73953 NA 0.153717
"181" "NOTCH2" 0.95281 0.618197 0.498481 0.673115 0.158559 0.032401 0.011117 0.780633 0.15775 0.099621 0.805727 0.042554 0.864777 0.143723
"182" "NRG1" 0.446939 0.200291 0.182066 0.397543 0.690091 0.672433 0.719053 0.496694 0.35326 0.232033 0.856537 0.008407 0.864777 0.077979
"183" "NRXN1" 0.629288 0.410955 0.373053 0.90729 0.531393 0.356972 0.219019 0.631223 0.000359 0.011443 0.128719 0.002609 0.035202 0.127352
"184" "NSD1" 0.752035 0.453944 0.527457 0.540585 0.679832 0.060393 0.394064 NA 0.646071 0.815275 0.097855 0.014161 0.767554 0.304475
"185" "OBSCN" 0.623778 0.868737 0.11424 0.179674 0.068663 0.949365 0.370418 0.900674 0.697754 0.443145 0.507832 0.130976 0.030766 0.023992
"186" "ODZ1" 0.164764 0.77738 0.475086 0.562357 0.593069 0.006874 0.08356 NA 0.952102 0.451559 0.062526 0.00046 0.809488 0.357191
"187" "ODZ3" 0.440816 0.825401 0.175422 0.01081 0.636713 0.127522 0.341886 NA 0.389116 0.362599 0.354124 0.005648 NA 0.016438
"188" "ODZ4" 0.733338 0.903578 0.495325 0.042997 0.791356 0.216325 0.592349 NA 0.276371 0.089007 0.946816 0.020542 0.864777 0.019247
"189" "OTOGL" 0.312037 NA NA 0.275693 NA 0.338911 NA 0.631223 NA NA NA 0.384947 NA 0.01647
"190" "PAPPA" 0.167492 0.647629 0.55927 0.833637 0.682052 0.002248 8.6e-05 0.476189 0.159878 0.805421 0.17241 0.013968 NA 0.074261
"191" "PBRM1" 0.307949 0.967207 0.579776 0.923137 0.067186 0.005562 0.752898 0.060587 0.273266 0.732651 0.875151 0.217167 NA 0.391328
"192" "PCDH10" 0.146776 0.100956 0.832155 0.843665 0.60398 0.496119 0.685287 0.631223 0.285723 0.304081 0.198268 0.001598 NA 0.118861
"193" "PCDH15" 0.048444 0.367808 0.337531 0.760834 0.292379 0.509396 0.975296 0.631223 0.003152 0.230895 0.174212 0.073255 0.809488 0.020261
"194" "PCDH17" 0.368526 0.138877 0.640993 0.64328 0.375019 0.435258 0.490095 0.631223 0.389503 0.000175 0.433302 0.041462 NA 0.029331
"195" "PCDHA10" 0.830594 0.053595 0.972066 0.669954 0.333732 0.823586 0.751508 0.631223 0.576787 0.126551 0.237674 0.027527 NA 0.160155
"196" "PCDHA9" 0.999767 0.282033 0.529109 0.571882 0.885302 0.748366 0.300842 NA 0.864075 0.242581 0.002852 0.035217 NA 0.256166
"197" "PCDHB3" 0.447593 0.81493 0.410733 0.432207 0.813712 0.274501 0.587132 0.450969 0.090906 0.235905 0.297764 0.049721 NA 0.917355
"198" "PCDHB5" 0.376335 0.265008 0.589019 0.339579 0.316552 0.002294 0.752075 0.631223 0.001277 0.576821 0.735364 0.036406 0.767788 0.113873
"199" "PCDHB7" 0.788391 0.866317 0.542204 0.447873 0.747958 0.987643 0.703827 NA 0.400748 0.999084 0.034995 0.045118 0.864777 0.599131
"200" "PCLO" 0.584918 0.659716 0.330494 0.409825 0.30165 0.147744 0.10846 0.697311 0.183546 0.025112 0.047625 0.038212 0.864777 0.004581
"201" "PDE4DIP" 0.105155 0.692746 0.750463 0.095043 0.409506 0.735612 0.468095 NA 0.482126 0.126032 0.733138 0.044279 0.767554 0.023945
"202" "PEG3" 0.189811 0.307798 0.207032 0.298359 0.707522 0.398707 0.118647 0.150327 0.109851 0.93024 0.934429 0.736432 0.809488 0.044126
"203" "PIK3CA" 0.011175 0.008323 0.082391 0.432462 0.058561 0.428053 0.852179 0.972452 0.430313 0.011196 0.163174 0.022468 0.809488 0.023782
"204" "PIKFYVE" 0.76463 0.120905 0.238644 0.377718 0.833005 0.221063 0.726293 0.496694 0.027259 0.316373 0.000905 0.281416 NA 0.043939
"205" "PKD1L1" 0.018429 0.628616 0.008767 0.139011 0.882596 0.757667 0.870825 0.478577 0.002287 0.1254 0.455834 0.327086 0.809488 0.100984
"206" "PKD1L2" 0.566159 0.548516 0.204831 0.875248 0.511037 0.016015 0.127398 0.332599 0.871471 0.468451 0.135361 0.071154 0.809488 0.046413
"207" "PKDREJ" 0.966971 0.968898 0.71085 0.39172 0 0.43381 0.562312 NA 0.692692 0.34747 0.414882 0.021477 0.767788 0.401588
"208" "PKHD1L1" 0.671154 0.539741 0.654687 0.841634 0.542806 0.02658 0.008804 0.593665 0.433628 0.487413 0.033624 0.312404 0.000114 0.030257
"209" "PLCE1" 0.65603 0.975852 0.358717 0.598539 0.00056 0.133444 0.432543 0.530484 0.550768 0.009613 0.921971 0.098041 0.809488 0.029171
"210" "PLEC" 0.952887 0.419835 0.297124 0.325983 0.151977 0.213017 0.034176 0.929575 0.51607 0.229147 0.431013 0.041991 0.767554 0.074642
"211" "POGZ" 0.447573 0.967235 NA NA 0.715613 0.662227 0.933247 NA 0.801189 0.131175 0.001844 0.010863 0.864777 0.111219
"212" "PPFIA2" 0.218942 0.894085 0.34779 0.2508 0.177158 0.540452 0.000228 NA 0.0079 0.381993 0.41788 0.794168 NA 0.040885
"213" "PRDM2" 0.895608 0.698617 NA 0.449346 1.4e-05 0.220465 0.173619 0.631223 0.251477 0.933201 0.139594 0.009824 0.809488 0.123891
"214" "PRDM9" 0.355931 0.492456 0.693859 0.83812 0.777157 0.897005 0.568261 0.502149 0.451754 0.004103 0.290433 0.03908 0.767554 0.470528
"215" "PRUNE2" 0.936891 0.955861 0.015581 0.073445 0.594139 0.807556 0.756692 0.680843 0.000658 0.197433 0.503614 0.091201 0.864777 0.02747
"216" "PSME4" 0.375461 0.257504 0.624094 0.929183 0.841262 0.828712 0.62846 0.263605 0.659767 0.313772 0.909557 0.035596 NA 0.144364
"217" "PTEN" 0.556004 0.320725 0.005381 0.080838 0.665019 0.481813 0.807529 0.002749 0.024497 0.326886 0.635248 0.003996 0.767788 0.027751
"218" "PTPN23" 0.883951 0.24402 NA 0.275693 0.002492 0.03335 0 0.631223 0.228774 0.46098 NA 0.049127 NA 0.240281
"219" "PTPRJ" 0.6204 0.425103 0.679111 0.760813 0.372803 0.440563 0.291555 0.60954 0.391359 0.676634 0.010638 0.021743 0.864777 0.155698
"220" "PTPRM" 0.898022 0.024213 0.332819 0.519871 0.749641 0.69966 0.289301 0.496694 0.655604 0.540501 0.126449 0.004917 NA 0.11871
"221" "PTPRT" 0.270687 0.237451 0.992276 0.184016 0.188434 0.577607 0.352359 NA 0.860957 0.728024 0.706252 0.013748 0.809488 0.304008
"222" "RAI1" 0.446939 0.420402 0.807823 0.556795 0.097606 0.469142 0.341713 NA 0.739167 0.04633 0.721428 0.020774 0.864777 0.176161
"223" "RANBP2" 0.859717 0.569349 0.442088 0.190779 0.596717 0.920296 0.173916 0.502807 0.006522 0.77527 NA 0.000444 0.809488 0.132109
"224" "RBM6" 0.326974 0.371062 0.228879 0.257476 0.903592 0.078943 0.317413 0.745574 0.233125 0.840063 0.383446 0.01436 0.82746 0.893456
"225" "RELN" 0.962837 0.74937 0.477666 0.106578 0.043323 0.001217 0.019554 0.447665 0.916904 0.13916 0.216997 0.1616 0.809488 0.018549
"226" "RGPD3" 0.44277 NA 0.885578 0.10408 0.759029 0.953717 0.118697 0.166021 0.843448 NA 0.628772 0.000637 NA 0.048001
"227" "RIMS1" 0.367987 0.967024 0.081572 0.781082 0.718348 0.438285 0.676782 0.631223 0.635293 0.129267 0.99288 0.711313 0.864777 0.029315
"228" "RIMS2" 0.213358 0.942048 0.225713 0.379033 0.321694 0.771054 0.21669 0.042794 0.002088 0.67192 0.780668 0.529467 0.809488 0.255266
"229" "ROS1" 0.751627 0.126023 0.281751 0.852545 0.347489 0.505568 0.549334 0.481649 0.366914 0.107315 0.34324 0.047966 0.809488 0.132271
"230" "RP1" 0.852935 0.663747 0.246064 0.416571 0.041882 0.943029 0.931596 0.576364 0.004797 0.047077 0.646893 0.014665 0.809488 0.030774
"231" "RP1L1" 0.537447 0.250887 0.192873 0.447957 0.197507 0.224272 0.164509 0.496694 0.075702 0.16054 0.359765 0.037707 NA 0.069814
"232" "RYR1" 0.217628 0.550581 0.505959 0.967028 0.344699 0.326645 0.711844 0.229995 0.084896 0.040519 0.143192 0.039091 0.650609 0.009043
"233" "RYR2" 0.316753 0.604225 0.474208 0.041618 0.704271 0.174082 0.109044 0.052457 0.263391 0.086413 0.750576 0.136042 0.767554 0.040108
"234" "RYR3" 0.993593 0.076151 0.876859 0.237702 0.771191 0.567016 0.603075 0.397797 0.843082 0.027922 0.220053 0.669092 0.864777 0.033402
"235" "SACS" 0.543711 0.960933 0.682062 0.377069 0.692022 0.497562 0.621884 0.260032 0.402117 0.450869 0.692557 0.026312 0.809488 0.007993
"236" "SCN1A" 0.631735 0.168463 0.465077 0.610769 0.258453 0.081468 0.126548 0.14552 0.000115 0.916974 0.045948 0.175636 0.767788 0.049433
"237" "SCN2A" 0.115036 0.774902 0.581258 0.75509 0.654064 0.22373 0.137894 0.749004 0.857342 0.664663 0.346386 0.124288 0.864777 0.025399
"238" "SETBP1" 0.332685 0.227454 0.797205 0.368316 0.075566 0.734685 0.467891 0.148938 0.034579 0.696968 NA 0.609271 0.809488 0.528261
"239" "SETD2" 0.115415 0.697588 0.308869 0.398102 0.360341 0.01394 0.086722 0.404545 0.561481 0.48992 0.759726 0.329817 0.864777 0.046266
"240" "SETX" 0.622337 0.488538 0.944282 0.93695 0.140185 0.911935 0.948089 0.530565 0.1197 0.701663 0.395264 0.219724 0.767788 0.041513
"241" "SI" 0.321993 0.870045 0.811126 0.04494 0.055385 0.270647 0.591377 0 0.588269 0.001772 0.053225 0.524416 0.864777 0.030492
"242" "SIPA1L2" 0.26506 0.800027 0.723736 0.546136 0.279882 0.163433 0.17503 0.404545 0.57839 0.301026 0.91981 0.038065 0.864777 0.139403
"243" "SLC32A1" 0.728733 0.838477 0.910075 0.301795 0.000249 0.643286 0.131818 NA 0.908571 0.273273 NA 0.006845 NA 0.363305
"244" "SLITRK5" 0.610677 0.000786 0.66783 0.515852 0.087099 0.216262 0.165461 0.586913 0.116595 0.898393 0.809583 0.047808 NA 0.148818
"245" "SON" 0.899794 0.253272 0.844797 0.14554 0.540529 0.16662 0.393255 0.335186 0.699959 0.402005 0.607155 0.043675 NA 0.219915
"246" "SORL1" 0.939275 0.285005 0.15596 0.942527 0.491097 0.083764 4.5e-05 0.496694 0.000789 0.900394 0.053929 0.03261 0.864777 0.081349
"247" "SPEN" 0.040132 0.302443 0.825468 0.884325 0.664252 0.347621 0.624875 0.631223 0.084462 0.720625 0.359253 0.044519 NA 0.020973
"248" "SPTBN1" 0.491446 0.053565 0.257029 0.206409 0.797497 0.005359 0.018354 0.496694 0.704468 0.516879 0.656473 0.860914 0.864777 0.035974
"249" "SSPO" 0.912681 0.417504 0.856152 0.309924 0.472088 0.414427 0.742378 0.319398 0.231043 0.792283 0.757045 0.031448 0.809488 0.205048
"250" "STAB2" 0.639777 0.393844 0.957637 0.272553 0.158349 0.828618 0.900519 0.062932 0.539696 0.855275 0.196499 0.039961 0.732876 0.1856
"251" "STARD9" 0.181525 NA NA NA NA 0.741371 0.459821 NA NA NA NA 0.113003 NA 0.023523
"252" "STK11" 0.028571 0.936186 NA NA 0.182354 0.935896 0.809748 NA 0.044083 0.999943 NA 0.104038 NA 0.669838
"253" "SVEP1" 0.252092 0.858515 0.990732 0.990538 0.645242 0.644967 0.893108 0.367084 0.410374 0.271945 0.40683 0.032342 0.809488 0.047048
"254" "SYCP2" 0.349948 0.891604 0.61793 0.641079 0.495383 0.269106 0.540943 NA 0.548752 0.408406 0.680226 0.332423 NA 0.041922
"255" "SYNE1" 0.981484 0.031209 0.258831 0.175886 0.968185 3e-06 9.4e-05 0.570702 0.64541 0.431257 0.958282 0.148808 0.767554 0.000789
"256" "TACC2" 0.560466 0.797845 0.008187 0.095462 0.21379 0.577198 0.833808 0.031465 0.849024 0.315169 0.921253 0.309077 0.007555 0.044261
"257" "TAF1L" 0.494904 0.688779 0.859353 0.069268 0.560955 0.959452 0.482665 0.01182 0.019403 0.129289 NA 0.047901 0.809488 0.110133
"258" "TAOK2" 0.981934 0.559868 0.559955 0.574078 0.033896 0.090502 0.029097 NA 0.389334 0.500343 NA 0.008796 NA 0.425758
"259" "TECTA" 0.561602 0.630388 0.088124 0.332322 0.349975 0.012649 0.384108 NA 0.750888 0.351208 0.886749 0.028932 0.809488 0.422251
"260" "TET1" 0.20079 0.593441 0.012075 0.024348 0.678474 0.317262 0.040236 0.785346 0.09972 0.230345 0.660882 0.043122 0.864777 0.114599
"261" "TEX15" 0.914873 0.029422 0.880693 0.073358 0.113136 0.695775 0.828498 0.135339 0.028019 0.999461 0.714015 0.154324 0.767788 0.074856
"262" "TG" 0.719796 0.740811 0.186707 0.432152 0.302661 0.02075 0.171747 0.28127 0.966622 0.089954 0.718292 0.067265 0.343797 0.019601
"263" "TLN2" 0.606822 0.480078 0.08827 0.183082 0.84693 0.228594 0.589731 0.526888 0.936748 0.410336 0.07086 0.964216 0.809488 0.049273
"264" "TNXB" 0.003835 0.232432 0.398068 0.706983 0.515237 0.197209 0.946001 0.84117 0.55195 0.768039 0.085558 0.022615 0.732609 0.394988
"265" "TP53" 0.113456 0.436588 0.140346 0 0 0.291431 0.176769 0.671502 0.003035 0.219607 0.008266 0.0457 0.793775 0.671017
"266" "TRANK1" 0.240638 0.005108 0.31965 0.585318 0.010515 0.592957 0.929538 0.487466 0.260812 0.00563 0.844419 0.01276 0.809488 0.149609
"267" "TRHDE" 0.461035 0.457533 0.229342 0.889884 0.975039 0.007802 0.534001 0.514908 0.245975 0.794997 0.916308 0.023333 0.767554 0.419298
"268" "TRIO" 0.170908 0.329511 0.001151 0.000859 0.144512 0.15605 0.396874 0.763349 0.001658 0.20767 0.002594 0.246831 0.000654 0.039017
"269" "TSHZ2" 0.35426 0.729772 0.075807 0.00083 0.509328 0.338627 0.230449 0.498833 0.845395 0.437305 0.854682 0.000651 0.864777 0.165943
"270" "TSHZ3" 0.495545 0.904459 0.365663 0.124753 0.536897 0.472053 0.088955 NA 0.677239 0.541154 0.8871 0.021144 NA 0.07738
"271" "TTN" 0.762772 0.045 0.001657 0.96279 0.001941 0.139088 0.542248 0.746859 0.074201 0.829434 0.065148 0 0.016402 0
"272" "UNC80" 0.171914 0 NA NA NA 0.602755 0.312762 NA 0.015779 0.393149 0.349653 0.231041 0.864777 0.015978
"273" "Unknown" NA 0.038845 0.898665 0 NA 0.002491 0.4693 NA 0.744324 0.063202 NA NA NA NA
"274" "USH2A" 0.253006 0.772708 0.253781 0.865358 0.619113 0.546465 0.604841 0.317835 0.758186 0.161479 0.716145 0.015244 0.767554 0.000337
"275" "USP9X" 0.604832 0.125561 0.153919 0.960606 0.781358 0.548315 0.886513 0.347861 0.903433 0.464101 0.297764 0.048923 0.042017 0.021376
"276" "UTRN" 0.191748 0.289657 0.098051 0.754956 0.997777 0.69662 0.780467 0.841443 0.792835 0.729998 0.046684 0.007242 0.864777 0.017645
"277" "VCAN" 0.115672 0.791838 0.622752 0.590646 0.440836 0.627075 0.929971 0.409001 0.011196 0.508249 0.831063 0.549105 0.864777 0.020557
"278" "VHL" NA 0.69226 0.38883 0.421581 0.456949 3.5e-05 0.481898 0.631223 NA 0.485855 NA 0.374301 NA 0.601166
"279" "VPS13A" 0.408326 0.489848 0.921501 0.867968 0.201204 0.573259 0.399073 0.631223 0.292496 0.422914 0.457298 0.004791 0.864777 0.02837
"280" "VPS13B" 0.94805 0.126184 0.085428 0.039965 0.098503 0.108063 0.214886 0.918446 0.502579 0.697109 0.839279 0.031162 0 0.023671
"281" "VPS13C" 0.147059 0.298391 0.90957 0.860497 0.026045 0.582297 0.666366 0.246491 0.118418 0.476542 0.275341 0.743154 0.809682 0.020573
"282" "VWF" 0.046239 0.820645 0.487204 0.170046 0.470245 0.564842 0.190625 0.631223 0.532938 0.817959 0.328983 0.002577 0.767788 0.635649
"283" "WDFY3" 0.282213 0.899479 0.582045 0.891162 0.378841 0.594722 0.355101 0.052663 0.233333 0.533331 0.825697 0.010203 0.809488 0.092884
"284" "WDFY4" 0.475014 NA NA NA NA 0.558589 0.819846 NA NA NA NA 0.00385 NA 0.023989
"285" "XIRP2" 0.518279 0.814183 0.963892 0.103396 0.299751 0.884189 0.836455 0.683395 0.328369 0.323071 0.350256 0.284963 0.864777 0.033087
"286" "XYLT2" 0.513916 0.674831 0.036662 0.001955 0.040309 0.471835 0.676096 NA NA NA NA 0.027328 0.864777 0.423179
"287" "ZC3H13" 0.002249 0.29192 9.5e-05 0.000844 0.366184 0.303137 0.984144 0.712197 0.132601 0.086592 0.215701 0.047006 0.799971 0.090422
"288" "ZDBF2" 0.940052 0.425183 0.916285 0.976113 0.612973 0.213632 0.539304 0.404545 0.599675 0.695588 0.826675 0.070933 0.864777 0.027668
"289" "ZFAT" 0.474168 0.826115 0.16934 0.688822 0.000373 0.189277 0.732351 0.496694 0.557068 0.866227 NA 0.035522 0.864777 0.120709
"290" "ZFHX3" 0.098496 0.883881 0.443558 0.89803 0.190092 0.841162 0.437365 0.140705 0.911554 0.683199 0.08955 0.248365 0.143547 0.025275
"291" "ZFHX4" 0.135743 0.271048 0.627884 0.685267 0.336524 0.523748 0.918298 0.404545 0.10837 0.016769 0.037213 0.148578 0.938091 0.000767
"292" "ZNF208" 0.850395 0.775187 0.146543 0.92405 0.288342 0.539737 0.23418 0.60954 0.040112 0.092523 0.226652 0.144716 NA 0.102982
"293" "ZNF292" 0.512291 0.43694 0.534633 0.838716 0.86078 0.906853 0.570695 0.764611 0.162063 0.282676 0.08639 0.329778 0.864777 0.020365
"294" "ZNF43" 0.770667 0.214779 NA NA 0.969443 0.065567 0.166044 NA 0.524597 0.02125 0.60279 0.015332 NA 0.116902
"295" "ZNF462" 0.948592 0.246104 0.539116 0.115993 0.200186 0.397923 0.592607 0.772589 0.853281 0.043013 0.329355 0.107698 0.864777 0.026147
"296" "ZNF676" 0.335957 0.367233 0.545489 0.593254 0.123627 0.737726 0.138953 0.631223 0.087298 0.017507 NA 0.887496 NA 0.293868
"297" "ZNF804B" 0.023302 0.165218 0.405516 0.556509 0.001588 0.583371 0.966398 0.514908 0.007798 0.387459 0.429211 0.385326 0.928694 0.258547
